correct,rt
1.0,1.52
1.0,1.12
1.0,0.65
1.0,2.38
1.0,0.69
1.0,0.5700000000000001
1.0,1.46
1.0,1.57
1.0,2.73
1.0,1.57
1.0,1.79
1.0,1.03
1.0,0.69
1.0,1.56
1.0,1.1300000000000001
1.0,1.58
1.0,0.98
1.0,1.3
1.0,2.48
1.0,1.4500000000000002
