correct,rt
0.0,0.53
1.0,0.8500000000000001
1.0,0.74
1.0,1.1
1.0,0.49
0.0,1.11
1.0,1.4500000000000002
1.0,0.65
1.0,0.61
1.0,0.44999999999999996
1.0,1.57
1.0,0.79
0.0,0.64
1.0,0.56
0.0,1.49
1.0,1.6500000000000001
1.0,0.99
1.0,2.34
1.0,0.78
1.0,0.8
